MatchID,TeamName,Goals,Attempts on target,Ball Possession,Passes accuracy
2024442,Austria,3,7,60,81
2024442,North Macedonia,1,2,40,72
2024486,Belgium,1,3,46,84
2024486,Italy,2,3,54,90
2024479,Belgium,1,1,44,84
2024479,Portugal,0,5,56,88
2024450,Belgium,3,4,62,90
2024450,Russia,0,1,38,77
2024462,Croatia,1,2,50,82
2024462,Czech Republic,1,1,50,81
2024472,Croatia,3,7,64,90
2024472,Scotland,1,4,36,81
2024482,Croatia,3,6,36,84
2024482,Spain,5,10,64,91
2024488,Czech Republic,1,5,53,78
2024488,Denmark,2,7,47,76
2024471,Czech Republic,0,1,43,80
2024471,England,1,2,57,85
2024459,Denmark,1,6,47,86
2024459,Belgium,2,4,53,87
2024449,Denmark,0,6,63,83
2024449,Finland,1,1,37,65
2024451,England,1,2,52,85
2024451,Croatia,0,1,48,85
2024490,England,2,10,58,88
2024490,Denmark,1,3,42,83
2024484,England,2,4,47,85
2024484,Germany,0,3,53,88
2024461,England,0,1,60,91
2024461,Scotland,0,1,40,81
2024470,Finland,0,1,42,84
2024470,Belgium,2,7,58,90
2024460,Finland,0,0,25,71
2024460,Russia,1,0,75,84
2024456,France,1,1,42,85
2024456,Germany,0,1,58,89
2024481,France,3,8,53,88
2024481,Switzerland,3,5,47,86
2024475,Germany,2,6,70,89
2024475,Hungary,2,4,30,73
2024465,Hungary,1,3,39,81
2024465,France,1,4,61,89
2024455,Hungary,0,3,35,78
2024455,Portugal,3,7,65,89
2024477,Italy,2,6,52,88
2024477,Austria,1,3,48,83
2024491,Italy,1,6,61,90
2024491,England,1,1,39,78
2024489,Italy,1,4,35,76
2024489,Spain,1,4,65,89
2024458,Italy,3,3,49,85
2024458,Switzerland,0,1,51,87
2024468,Italy,1,6,63,92
2024468,Wales,0,1,37,78
2024443,Netherlands,2,3,47,82
2024443,Austria,0,1,53,83
2024480,Netherlands,0,0,52,73
2024480,Czech Republic,2,5,48,76
2024441,Netherlands,3,7,63,90
2024441,Ukraine,2,5,37,85
2024445,North Macedonia,0,1,43,82
2024445,Netherlands,3,6,57,85
2024454,Poland,1,3,56,85
2024454,Slovakia,2,2,44,83
2024476,Portugal,2,5,49,91
2024476,France,2,5,51,93
2024466,Portugal,2,2,44,86
2024466,Germany,4,7,56,91
2024452,Scotland,0,5,56,77
2024452,Czech Republic,2,7,44,72
2024473,Slovakia,0,0,38,82
2024473,Spain,5,9,62,89
2024463,Spain,1,5,69,87
2024463,Poland,1,2,31,64
2024453,Spain,0,5,75,89
2024453,Sweden,0,0,25,59
2024474,Sweden,3,4,39,58
2024474,Poland,2,6,61,78
2024464,Sweden,1,4,43,83
2024464,Slovakia,0,0,57,88
2024483,Sweden,1,3,46,84
2024483,Ukraine,2,4,54,89
2024485,Switzerland,1,2,34,73
2024485,Spain,1,10,66,91
2024467,Switzerland,3,10,49,89
2024467,Turkey,1,6,51,87
2024447,Turkey,0,0,39,80
2024447,Italy,3,8,61,87
2024457,Turkey,0,5,56,84
2024457,Wales,2,7,44,77
2024446,Ukraine,0,1,51,81
2024446,Austria,1,4,49,79
2024487,Ukraine,0,2,49,90
2024487,England,4,6,51,92
2024444,Ukraine,2,8,52,88
2024444,North Macedonia,1,5,48,85
2024478,Wales,0,1,48,83
2024478,Denmark,4,8,52,84
2024448,Wales,1,2,38,79
2024448,Switzerland,1,4,62,88
